county_cd	County Type	year	Population	Total self-supplied groundwater withdrawals, in Mgal/d	Total self-supplied surface-water withdrawals, in Mgal/d	Total self-supplied withdrawals, in Mgal/d	Total consumptive use, fresh, in Mgal/d	Total conveyance loss, in Mgal/d	 Total sprinkler irrigation, in thousand acres	Total microirrigation, in thousand acres	Total surface irrigation, in thousand acres	Total irrigation, in thousand acres	Total reclaimed wastewater, in Mgal/d	$E-Total conveyance loss, in Mgal/d
41.000	Urban	1990.000	397.010	20.200	26.590	46.790	12.290	21.900	5.280	$null$	6.460	11.740	1.400	13.006
41.000	Urban	1995.000	465.800	9.740	17.780	27.520	14.150	7.180	5.080	0.000	6.210	11.290	0.650	5.103
41.000	Urban	2000.000	516.930	3.610	11.350	14.960	$null$	$null$	5.580	0.000	2.720	8.300	$null$	0.718
41.000	Urban	2005.000	565.582	6.110	27.850	33.960	$null$	$null$	9.030	0.000	4.410	13.440	$null$	6.196
41.000	Urban	2010.000	622.263	5.690	25.570	31.260	$null$	$null$	7.370	0.000	3.990	11.360	$null$	5.935
41.000	Urban	2015.000	674.471	6.780	1.800	8.580	8.410	$null$	6.930	0.000	5.120	12.050	$null$	-2.692
43.000	Rural	1985.000	30.300	0.320	46.090	46.410	19.430	18.460	0.380	$null$	9.940	10.320	0.000	12.327
43.000	Rural	1990.000	32.270	4.780	145.000	149.780	18.700	52.400	0.490	$null$	11.700	12.190	0.000	51.105
43.000	Rural	1995.000	39.790	1.840	110.770	112.610	47.690	40.020	0.460	0.000	12.180	12.640	0.000	36.733
43.000	Rural	2000.000	46.150	0.200	107.080	107.280	$null$	$null$	0.000	0.000	22.490	22.490	$null$	31.786
43.000	Rural	2005.000	47.766	0.160	127.190	127.350	$null$	$null$	0.240	0.000	15.790	16.030	$null$	41.207
43.000	Rural	2010.000	46.824	0.530	116.360	116.890	$null$	$null$	1.430	0.020	11.330	12.780	$null$	38.107
43.000	Rural	2015.000	46.692	0.160	95.320	95.480	9.330	$null$	1.240	0.070	12.200	13.510	$null$	29.825
45.000	Rural	1985.000	25.150	2.360	543.610	545.970	95.450	132.820	2.930	$null$	58.980	61.910	0.000	185.671
45.000	Rural	1990.000	29.970	2.350	394.270	396.620	98.750	118.180	2.430	$null$	48.900	51.330	0.000	132.455
45.000	Rural	1995.000	35.340	2.610	545.920	548.530	109.090	163.900	3.000	0.000	60.190	63.190	0.000	186.276
45.000	Rural	2000.000	43.790	2.230	407.700	409.930	$null$	$null$	0.000	0.000	43.540	43.540	$null$	140.003
45.000	Rural	2005.000	49.810	6.380	326.060	332.440	$null$	$null$	1.130	0.000	50.300	51.430	$null$	108.659
45.000	Rural	2010.000	56.389	0.120	242.040	242.160	$null$	$null$	5.970	0.000	38.500	44.470	$null$	75.614
45.000	Rural	2015.000	58.095	0.210	234.240	234.450	60.160	$null$	10.140	0.000	46.080	56.220	$null$	68.832
47.000	Rural	1985.000	2.760	0.000	0.000	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	-2.164
47.000	Rural	1990.000	3.070	0.000	0.000	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	-2.164
47.000	Rural	1995.000	3.580	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-2.164
47.000	Rural	2000.000	4.760	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
47.000	Rural	2005.000	4.932	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
47.000	Rural	2010.000	5.441	0.000	0.000	0.000	$null$	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
47.000	Rural	2015.000	5.828	0.000	0.000	0.000	0.000	$null$	0.000	0.000	0.000	0.000	$null$	-2.164
49.000	Frontier	1985.000	9.660	0.000	142.130	142.130	22.660	35.260	0.610	$null$	30.970	31.580	0.000	42.209
49.000	Frontier	1990.000	7.970	0.000	161.670	161.670	41.160	48.500	0.970	$null$	49.320	50.290	0.000	44.101
49.000	Frontier	1995.000	9.190	0.000	201.330	201.330	40.740	60.400	0.920	0.000	46.960	47.880	0.000	59.770
49.000	Frontier	2000.000	12.440	0.000	107.810	107.810	$null$	$null$	0.000	0.000	27.410	27.410	$null$	30.541
49.000	Frontier	2005.000	13.211	0.000	224.980	224.980	$null$	$null$	0.420	0.000	30.360	30.780	$null$	73.720
49.000	Frontier	2010.000	14.843	0.050	183.820	183.870	$null$	$null$	1.060	0.000	40.240	41.300	$null$	55.084
49.000	Frontier	2015.000	14.615	0.000	183.290	183.290	37.130	$null$	1.150	0.000	42.960	44.110	$null$	54.035
51.000	Rural	1985.000	11.170	1.670	229.380	231.050	49.350	17.350	0.190	$null$	47.370	47.560	0.000	71.283
51.000	Rural	1990.000	10.270	1.750	267.160	268.910	56.450	64.200	0.200	$null$	49.510	49.710	0.000	84.946
51.000	Rural	1995.000	11.930	2.140	280.360	282.500	69.100	98.220	0.250	0.000	61.630	61.880	0.000	86.559
51.000	Rural	2000.000	13.960	1.780	237.420	239.200	$null$	$null$	0.000	0.000	46.760	46.760	$null$	74.620
51.000	Rural	2005.000	14.226	0.220	669.630	669.850	$null$	$null$	0.180	0.000	41.480	41.660	$null$	238.441
51.000	Rural	2010.000	15.324	0.850	552.450	553.300	$null$	$null$	0.700	0.000	56.090	56.790	$null$	190.060
51.000	Rural	2015.000	16.067	0.000	520.530	520.530	58.370	$null$	0.720	0.000	57.230	57.950	$null$	177.293
53.000	Frontier	1985.000	0.410	0.000	3.270	3.270	0.740	0.310	0.000	$null$	1.200	1.200	0.000	-1.279
53.000	Frontier	1990.000	0.470	0.000	9.220	9.220	2.280	2.210	0.000	$null$	2.640	2.640	0.000	0.547
53.000	Frontier	1995.000	0.650	0.000	13.090	13.090	4.940	2.820	0.010	0.000	5.560	5.570	0.000	1.154
53.000	Frontier	2000.000	0.790	0.010	9.590	9.600	$null$	$null$	0.000	0.000	2.440	2.440	$null$	0.749
53.000	Frontier	2005.000	0.765	0.010	40.150	40.160	$null$	$null$	0.000	0.000	5.330	5.330	$null$	11.438
53.000	Frontier	2010.000	0.843	0.000	26.970	26.970	$null$	$null$	0.000	0.000	6.100	6.100	$null$	6.237
53.000	Frontier	2015.000	0.774	0.210	20.240	20.450	11.940	$null$	0.000	0.000	5.880	5.880	$null$	3.857
55.000	Frontier	1985.000	7.250	4.090	50.540	54.630	22.690	20.540	0.020	$null$	11.970	11.990	0.000	15.266
55.000	Frontier	1990.000	6.010	0.030	34.000	34.030	23.000	11.000	0.000	$null$	15.100	15.100	0.000	6.287
55.000	Frontier	1995.000	6.360	0.000	89.380	89.380	41.470	32.180	0.000	0.000	19.600	19.600	0.000	25.858
55.000	Frontier	2000.000	7.860	1.480	65.100	66.580	$null$	$null$	0.000	0.000	15.770	15.770	$null$	18.481
